Year,region,Mean
1981,Rangpur,0.06527609313624502
1982,Bogra,0.03753752618059275
1982,Dinajpur,0.07378989630703406
1982,Ishwardi,0.041548843189011815
1982,Rajshahi,0.03579289439297213
1982,Rangpur,0.07266939936580476
1983,Bogra,0.055580396296906066
1983,Dinajpur,0.08262610941021081
1983,Ishwardi,0.056100189294954826
1983,Rajshahi,0.0556113952395924
1983,Rangpur,0.08085316640935901
1984,Bogra,0.07057448615437369
1984,Dinajpur,0.1310624419041802
1984,Ishwardi,0.0559030096054652
1984,Rajshahi,0.05237211593863521
1984,Rangpur,0.1303220551303995
1985,Bogra,0.048218805919269345
1985,Dinajpur,0.09353693217987953
1985,Ishwardi,0.035770838342210495
1985,Rajshahi,0.038564524092661326
1985,Rangpur,0.09662032654587105
1986,Bogra,0.06067489462101746
1986,Dinajpur,0.07375737600777661
1986,Ishwardi,0.04568497672908285
1986,Rajshahi,0.045788332064972556
1986,Rangpur,0.07566321292649714
1987,Bogra,0.05229043888306475
1987,Dinajpur,0.09978727565030436
1987,Ishwardi,0.05166248683133246
1987,Rajshahi,0.04384059112574767
1987,Rangpur,0.10044223922665095
1988,Bogra,0.06459631684742441
1988,Dinajpur,0.06594110194469523
1988,Ishwardi,0.047844496494540034
1988,Rajshahi,0.045690522856422874
1988,Rangpur,0.07494414033437644
1989,Bogra,0.04612746568115561
1989,Dinajpur,0.06937506584646565
1989,Ishwardi,0.0471891862201033
1989,Rajshahi,0.04781220756555324
1989,Rangpur,0.06755311366581417
1990,Bogra,0.058624823139102424
1990,Dinajpur,0.066728514693134
1990,Ishwardi,0.06470261518556099
1990,Rajshahi,0.05549877244374368
1990,Rangpur,0.0793694782388104
1991,Bogra,0.06788370990434149
1991,Dinajpur,0.06845827873922385
1991,Ishwardi,0.05549020471341061
1991,Rajshahi,0.05045857256591626
1991,Rangpur,0.0759675212844713
1992,Bogra,0.04157388196664302
1992,Dinajpur,0.05922820029486411
1992,Ishwardi,0.03669519215451731
1992,Rajshahi,0.02946468496649561
1992,Rangpur,0.06963305997520745
1993,Bogra,0.057169932226633635
1993,Dinajpur,0.07708404697685768
1993,Ishwardi,0.051142562965684396
1993,Rajshahi,0.051160440324186575
1993,Rangpur,0.08562248408939081
1994,Bogra,0.0402096546208726
1994,Dinajpur,0.03831789260025097
1994,Ishwardi,0.033174434823301235
1994,Rajshahi,0.03658376395147885
1994,Rangpur,0.0433248579307644
1995,Bogra,0.07006602712638074
1995,Dinajpur,0.09121072074729485
1995,Ishwardi,0.0466564240190033
1995,Rajshahi,0.04968279677447599
1995,Rangpur,0.08397299154208734
1996,Bogra,0.04792651065143528
1996,Dinajpur,0.06755178078390495
1996,Ishwardi,0.04442823304872784
1996,Rajshahi,0.039992817231405575
1996,Rangpur,0.0636920621643477
1997,Bogra,0.0405478582843537
1997,Dinajpur,0.06442676792974075
1997,Ishwardi,0.06234284784870112
1997,Rajshahi,0.06952228564614936
1997,Rangpur,0.06948869460165141
1998,Bogra,0.08167205572721604
1998,Dinajpur,0.08594970667323569
1998,Ishwardi,0.056127504593291064
1998,Rajshahi,0.052810618501472235
1998,Rangpur,0.08209010496270382
1999,Bogra,0.042651047407443174
1999,Dinajpur,0.07674169753752876
1999,Ishwardi,0.05031654103376735
1999,Rajshahi,0.053785955743663516
1999,Rangpur,0.08543609286107526
2000,Bogra,0.05482846136755133
2000,Dinajpur,0.05200677556455821
2000,Ishwardi,0.0575086239299621
2000,Rajshahi,0.054525004285731336
2000,Rangpur,0.058272731346849
2001,Bogra,0.04302654230627652
2001,Dinajpur,0.07383607001583595
2001,Ishwardi,0.04838847314445465
2001,Rajshahi,0.045358547222200125
2001,Rangpur,0.0812591020209797
2002,Bogra,0.0572392883912721
2002,Dinajpur,0.07733616563802928
2002,Ishwardi,0.04335568614924606
2002,Rajshahi,0.04303364081417756
2002,Rangpur,0.09464587756655242
2003,Bogra,0.058517127702052966
2003,Dinajpur,0.08208793314849387
2003,Ishwardi,0.04100044181167129
2003,Rajshahi,0.051963218445322874
2003,Rangpur,0.08772678136405489
2004,Bogra,0.06646060090305131
2004,Dinajpur,0.07961878609299235
2004,Ishwardi,0.05740679039580339
2004,Rajshahi,0.05802159607164602
2004,Rangpur,0.08587919735146059
2005,Bogra,0.059852705088712266
2005,Dinajpur,0.09596718234806521
2005,Ishwardi,0.055673744742538375
2005,Rajshahi,0.04331941430406216
2005,Rangpur,0.08795661575940919
2006,Bogra,0.03139383947453132
2006,Dinajpur,0.04141425099680963
2006,Ishwardi,0.03854699180082355
2006,Rajshahi,0.034160602566510136
2006,Rangpur,0.0521802853068663
2007,Bogra,0.05988148735879141
2007,Dinajpur,0.05477293741845963
2007,Ishwardi,0.0517475286692241
2007,Rajshahi,0.05548612116808485
