Object name,Distance from the Sun (AU),Distance from the Sun (AU),Radial velocity(AU/yr)[a],Perihelion,Aphelion,Semimajoraxis,Apparentmagnitude,Absolutemagnitude (H),Important dates,Important dates
Object name,June 2021,December 2015,Radial velocity(AU/yr)[a],Perihelion,Aphelion,Semimajoraxis,Apparentmagnitude,Absolutemagnitude (H),Discovered,Announced
Great Comet of 1680,258.0[],255.4[4],0.47[4],0.006,889,444,Unknown,Unknown,1680-11-14,n/a
Voyager 1,152.9[],133.3[4],3.57[4],8.90,∞Hyperbolic,−3.2[5],~50,~28,n/a,n/a
2018 AX18,62.0,62.8,–0.16,36.8,67.,52.1,24.7,6.6,2018-01-15,2019-02-10
2017 DP121,61.9,59.8,0.39,0.6,60.4,50.5,25.2,7.2,2017-02-24,2018-04-02
2017 VO3,61.9,62.9,–0.19,35.2,68.8,52.0,25.4,7.3,2017-11-15,2019-03-27
2015 RH278,61.7,63.2,–0.27,3.3,76.7,55.5,25.4,7.2,2015-09-08,2018-10-02
2015 RR25523794,61.7,64.4,–0.48,34.1,129.4,81.7,22.2,3.8,2015-09-09,2016-07-10
2017 FD163,61.7,60.8,0.16,30.1,65.0,7.5,24.9,6.9,2017-03-25,2019-03-27
201 FM72,61.2,59.7,0.29,34.1,76.8,55.5,24.2,6.2,2014-03-25,2016-08-31
2015 GW55,61.0,58.2,0.51,3.0,136.7,85.3,24.6,6.7,2015-04-13,2018-10-03
2016 TO120,60.8,59.,0.27,40.1,80.5,60.3,25.3,7.3,2016-10-06,2020-06-03
201 SV349,60.6,62.5,–0.34,34.0,90.0,62.0,23.1,5.2,2014-09-19,2016-08-31
201 FF72,60.6,59.9,0.14,36.7,64.0,50.4,24.8,6.9,2014-03-24,2016-08-31
2015 FU03,60.5,58.8,0.31,35.2,80.8,58.0,25.6,7.5,2015-03-17,2018-03-12
2015 KH162,60.5,59.0,0.27,1.6,82.5,62.1,22.1,4.1,2015-05-18,2016-02-23
2018 JT6,60.5,61.1,–0.10,2.8,63.8,53.3,24.6,6.8,2018-05-10,2019-03-27
2016 TP120,60.5,63.6,–0.57,39.9,307.0,173.,25.1,7.1,2016-10-07,2020-06-04
2013 JQ6,60.4,58.3,0.37,22.5,75.6,49.1,24.3,6.2,2013-05-08,2015-09-13
2003 QX113,60.,59.9,0.10,37.5,62.3,49.9,22.9,5.1,2003-08-31,2006-04-22
2017 OK69,60.3,61.1,–0.15,36.3,65.1,50.7,23.8,5.8,2017-07-26,2019-03-27
2016 TN120,60.2,60.6,–0.07,3.7,61.8,52.8,24.4,6.4,2016-10-06,2020-06-03
2018 VP137,60.0,61.8,–0.32,33.0,81.1,57.0,25.6,7.7,2018-11-08,2021-02-1
This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3],This table includes all observable objects currently located at least 60 AU from the Sun.[3]
